#,TokenTraderAddress,SellsTokens,EtherPer1000Tokens,TokenBalance,Block,Deployed,TxHash,Owner,Asset,Symbol,SellPrice,Units,TokenTraderEtherBalance,OwnerEtherBalance,
26,0x4b17f65fc6450cbcced9e893dd84123a5fc13362,TRUE,1.45,154913.0693,2631874,Tue, 15 Nov 2016 13:57:31 UTC,0xbee51d62e775ffe9809eafa8478ee0fa7402ba1bfc7c57a25b9474a4f11b0594,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,145,100000,290.144,1089.749375
27,0x1e00980cb7b109d290fcf6c4e579debb8c836c39,TRUE,1.45,329983.1034,2633247,Tue, 15 Nov 2016 19:26:08 UTC,0x0d32f0035c4ab9bd7fb5b3e0f066e02254eb1930f0b311c0663c911e905ef2c5,0x0020dba1d308339182239056a00fcc146d2e26e0,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,145,100000,0.0245,458.6701383
1,0xb362bba1c7c5c857e3ac74d740c0007c48db7362,TRUE,1.5,0,2617375,Sun, 13 Nov 2016 05:05:53 UTC,0xb7ef581cd0e6597525e254add6f820ac6ecf860d89d01656035dfd880dac2747,0x0020dba1d308339182239056a00fcc146d2e26e0,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,150,100000,2.50E-16,458.6701383
12,0xe0a1c26c65deef0316762ebc8f3734d703664947,TRUE,1.5,0,2620618,Sun, 13 Nov 2016 17:35:15 UTC,0x60227ae1206edacbe3b622ef30476c721292e4bf7d6df97949333a862faed3e1,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,150,100000,0,1089.749375
13,0x7ea06cf742bf823d8b711c35795859445f3181c1,TRUE,1.5,0,2620623,Sun, 13 Nov 2016 17:37:09 UTC,0xea9a0aff2df1ae2bc66686616df55185098bb6fff07dd4cca81073bad28e6fbe,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,150,100000,0,1089.749375
14,0x27b705cb1e854205db45d2353e1e7c9e5997b585,TRUE,1.5,0,2620623,Sun, 13 Nov 2016 17:37:09 UTC,0x0a4bd47793a91e524664984920f128cebc26c242b9ae2797e770cf74b4b0f139,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,150,100000,0,1089.749375
24,0x1a22bb6827dbb7df60a6de726519c2a509271695,TRUE,1.5,580393.55,2625481,Mon, 14 Nov 2016 12:51:52 UTC,0xb87f558aa137e8d74582b58ee1ffb86d4b4e13b7f286d7de50ffe2a7cf65455a,0x45689bac94edae26625521f1361748119f05fc30,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,150,100000,759.481675,9.890681299
7,0xe743e923850b8aa0c101684e0abf389d21e4e623,TRUE,1.78,0,2619497,Sun, 13 Nov 2016 13:18:41 UTC,0xef511d0ddb520edef04c9d91870d5d8f63069c69d3fe961c8fc050c679fbddd7,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,178,100000,0,1089.749375
6,0xc0081f0e16cbceec6df8e63986212a52ee493540,TRUE,1.88,102821.2909,2619428,Sun, 13 Nov 2016 13:04:24 UTC,0x03418089251eaae28626c733fc6eb5a1255e80d9ba98e62b178646a987cb514a,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,188,100000,1.193,1089.749375
23,0x406a65de7a2e94ef19597a79296e269fada85a71,TRUE,1.9,136166.8742,2624456,Mon, 14 Nov 2016 08:39:06 UTC,0x0eca65c8457f60599d55dfe8554e9232b824eba714d941d318660d7e691629af,0x45689bac94edae26625521f1361748119f05fc30,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,190,100000,121.289,9.890681299
20,0x194d8b645c32b786f82b7e341c99f9f92f936672,TRUE,1.94,0,2621484,Sun, 13 Nov 2016 20:54:03 UTC,0x489c31afebeefce4a3b54f1e329892d2cbe990018caf9a41510efc8f9f91770e,0x8f5876140d4ec58cd1f8cd3e0b0e6e348bbe9be0,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,194,100000,2.20E-17,262.6699514
15,0x5eb860c816789bb52300a0675300701eca203cf8,TRUE,1.95,158854.1026,2620624,Sun, 13 Nov 2016 17:37:27 UTC,0x32917b490f4bc1f4017be7ad799962c8d27685dc3d3d9c92b9f44907e93957d3,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,195,100000,0.3295,1089.749375
0,0x399156ee3339f4b29a53e307b98cce09fda3bac7,TRUE,2,5430.015,2615921,Sat, 12 Nov 2016 23:17:56 UTC,0x6a7f83c93837f4ab11e1bc9dae2a34df4b4610b0d87512e451a36b5f53fb9661,0x0020dba1d308339182239056a00fcc146d2e26e0,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,524.142902,458.6701383
9,0x8881e10321f36fe893db67d388ad1d4727ad899d,TRUE,2,0,2620228,Sun, 13 Nov 2016 16:07:02 UTC,0x037552e00ee84c5f6d1ce976ac55b0145544bc5ddfa61a4ec2b2213929ad732f,0x65be7973aefa378fc4b41b7ada858b709b393178,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,0,2.114743335
10,0xa7f8da2594eaf1e8573a5974be6028f64157cd7a,TRUE,2,713516,2620364,Sun, 13 Nov 2016 16:37:01 UTC,0xb1476af7d8f727082e0844799223e8b25bfb285ed3eb26bc0b32cf4a539ab874,0x65be7973aefa378fc4b41b7ada858b709b393178,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,1.968,2.114743335
16,0xc231dc7cd9f83eaa24fa9742ef844349f8f0efa9,TRUE,2,0,2620627,Sun, 13 Nov 2016 17:37:55 UTC,0x76cd7a8432e18514359989448dbe0902a1b40954d7f0e940ac69c35924ab1c49,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,0,1089.749375
22,0xf31057bc0ff5e3e3b32652b29c0451624392567c,TRUE,2,100050,2624008,Mon, 14 Nov 2016 06:54:11 UTC,0x7188c6c2ad1a9a98b4c03c2e75dc06031dad7b393f1b3685880f18cfbcc8dbdc,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,0,1089.749375
25,0xffd41efe3d3c073f4c7dbf2cec7c19111fc7523e,TRUE,2,4250,2627210,Mon, 14 Nov 2016 19:37:27 UTC,0x83989b896e99c80647a38a2d6bb1fd82af5478ff125b4acedfad9c868ae7b420,0x8fdb7441bd9263499af346135153a737aa9b3fbb,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,1.502,31.9541903
17,0x6e3f7ad4d9accb12452744fb2785ecac31ea8026,TRUE,2.05,50000,2620627,Sun, 13 Nov 2016 17:37:55 UTC,0x7c347a77e832bfe16f94088007406ed36fbbd61abe85d8b22e3ab562c3b9c6fe,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,205,100000,20.705,1089.749375
18,0x4b34da26bfb35d3089c455cb483a5fff8695d447,TRUE,2.11,200000,2620629,Sun, 13 Nov 2016 17:38:31 UTC,0xf8e7f106a9643fb1298604ee4499800c8d346437c54faebeede1265bb96ce4c6,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,211,100000,6.58,1089.749375
11,0x42be3b481f25b0148cd1a144d8ca22cda5b677e7,TRUE,2.33,9.00E-12,2620449,Sun, 13 Nov 2016 16:54:25 UTC,0x1d01cc09fb0482bb406ceda6a173985c9879144c0c875eafb7bc66a3b1d108ed,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,233,100000,1.60E-17,1089.749375
