#,TokenTraderAddress,SellsTokens,EtherPer1000Tokens,TokenBalance,Block,Deployed,TxHash,Owner,Asset,Symbol,SellPrice,Units,TokenTraderEtherBalance,OwnerEtherBalance
9,0x1a22bb6827dbb7df60a6de726519c2a509271695,TRUE,1.5,472320.2167,2625481,14 Nov 2016 12:51:52 UTC,0xb87f558aa137e8d74582b58ee1ffb86d4b4e13b7f286d7de50ffe2a7cf65455a,0x45689bac94edae26625521f1361748119f05fc30,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,150,100000,51.59167499,131.1719526
2,0xc0081f0e16cbceec6df8e63986212a52ee493540,TRUE,1.88,102821.2909,2619428,13 Nov 2016 13:04:24 UTC,0x03418089251eaae28626c733fc6eb5a1255e80d9ba98e62b178646a987cb514a,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,188,100000,1.193,1379.747514
4,0x5eb860c816789bb52300a0675300701eca203cf8,TRUE,1.95,158854.1026,2620624,13 Nov 2016 17:37:27 UTC,0x32917b490f4bc1f4017be7ad799962c8d27685dc3d3d9c92b9f44907e93957d3,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,195,100000,0.3295,1379.747514
0,0x399156ee3339f4b29a53e307b98cce09fda3bac7,TRUE,2,5430.015,2615921,12 Nov 2016 23:17:56 UTC,0x6a7f83c93837f4ab11e1bc9dae2a34df4b4610b0d87512e451a36b5f53fb9661,0x0020dba1d308339182239056a00fcc146d2e26e0,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,524.142902,458.6701383
8,0xf31057bc0ff5e3e3b32652b29c0451624392567c,TRUE,2,100050,2624008,14 Nov 2016 06:54:11 UTC,0x7188c6c2ad1a9a98b4c03c2e75dc06031dad7b393f1b3685880f18cfbcc8dbdc,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,0,1379.747514
10,0xffd41efe3d3c073f4c7dbf2cec7c19111fc7523e,TRUE,2,4250,2627210,14 Nov 2016 19:37:27 UTC,0x83989b896e99c80647a38a2d6bb1fd82af5478ff125b4acedfad9c868ae7b420,0x8fdb7441bd9263499af346135153a737aa9b3fbb,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,200,100000,1.502,31.9541903
5,0x6e3f7ad4d9accb12452744fb2785ecac31ea8026,TRUE,2.05,50000,2620627,13 Nov 2016 17:37:55 UTC,0x7c347a77e832bfe16f94088007406ed36fbbd61abe85d8b22e3ab562c3b9c6fe,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,205,100000,20.705,1379.747514
6,0x4b34da26bfb35d3089c455cb483a5fff8695d447,TRUE,2.11,200000,2620629,13 Nov 2016 17:38:31 UTC,0xf8e7f106a9643fb1298604ee4499800c8d346437c54faebeede1265bb96ce4c6,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,211,100000,6.58,1379.747514
3,0x42be3b481f25b0148cd1a144d8ca22cda5b677e7,TRUE,2.33,9.00E-12,2620449,13 Nov 2016 16:54:25 UTC,0x1d01cc09fb0482bb406ceda6a173985c9879144c0c875eafb7bc66a3b1d108ed,0x16efbb80e246b61e42e0d8bd6496cefb9d40867b,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,233,100000,1.60E-17,1379.747514
1,0x4104e4b12e73bc99dd4f20a39525d07aa395c0d4,TRUE,3,1794.833333,2618103,13 Nov 2016 07:57:29 UTC,0x3cf847a7087dd02ae2c1ac76c7c498ca3f4ca4b10a7cf1fc00cad4b5c178c531,0x0020dba1d308339182239056a00fcc146d2e26e0,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,300,100000,34.6155,458.6701383
7,0x593fd4a14f64282891a1369442462361a1908b01,TRUE,3.75,900,2621344,13 Nov 2016 20:22:50 UTC,0x357c6022430b625491f42a7d1043a16fa58988d25c6acf2e1e74422be4dc2366,0x652381dad2689e0fdc16cb83ed481e94f8df1236,0xa74476443119a942de498590fe1f2454d7d4ac0d,GNT,375,100000,0,1.53181806
